age,education,occupation,marital_status,spending_score,credit_score,work_experience,loan_status,income
30,High School,Manager,Single,45,538,1,Small Loan,30202
23,Master,Teacher,Widowed,74,594,14,No Loan,152492
34,Master,Artist,Married,91,411,34,Small Loan,45316
25,High School,Teacher,Divorced,80,387,23,Small Loan,54695
49,PhD,Doctor,Married,30,775,37,Large Loan,159694
57,Master,Engineer,Single,77,603,13,No Loan,140152
21,Bachelor,Manager,Married,85,604,36,Small Loan,82132
34,Master,Doctor,Widowed,45,589,36,Small Loan,26610
30,Bachelor,Manager,Widowed,45,507,5,No Loan,197644
27,PhD,Lawyer,Married,79,669,17,Small Loan,151092
45,Master,Engineer,Widowed,84,519,21,No Loan,173060
64,High School,Doctor,Widowed,84,530,17,No Loan,120862
63,High School,Lawyer,Widowed,45,648,1,Large Loan,171407
24,Master,Doctor,Divorced,55,554,31,No Loan,27602
25,PhD,Manager,Single,59,751,16,Large Loan,117295
45,PhD,Lawyer,Widowed,5,441,0,Small Loan,80625
23,High School,Lawyer,Married,32,368,8,No Loan,110720
38,Master,Engineer,Widowed,6,388,12,Large Loan,131464
39,PhD,Teacher,Divorced,94,435,35,No Loan,105934
52,High School,Manager,Married,26,822,36,Small Loan,40903
39,Bachelor,Manager,Single,37,741,29,Large Loan,167381
31,Master,Lawyer,Married,13,337,30,Large Loan,191555
20,Bachelor,Lawyer,Married,93,507,22,Large Loan,33070
45,Bachelor,Engineer,Married,69,509,27,Small Loan,146378
33,PhD,Teacher,Married,25,812,9,Large Loan,58217
57,PhD,Manager,Widowed,13,659,24,Small Loan,154301
56,PhD,Artist,Single,88,300,35,Small Loan,119961
30,Master,Artist,Widowed,95,680,25,No Loan,86305
55,Bachelor,Teacher,Divorced,20,836,25,Small Loan,40106
32,Master,Doctor,Divorced,72,693,12,Large Loan,58837
62,PhD,Engineer,Married,60,349,16,Large Loan,29017
22,Bachelor,Teacher,Widowed,73,695,39,Small Loan,54420
52,Master,Artist,Widowed,21,331,3,Small Loan,126123
25,Master,Lawyer,Single,61,844,22,No Loan,38582
29,High School,Artist,Single,84,533,34,No Loan,104403
24,Master,Lawyer,Single,79,325,10,Large Loan,132686
42,PhD,Engineer,Widowed,26,733,11,Small Loan,106483
29,Master,Lawyer,Single,54,360,8,Large Loan,102468
63,Bachelor,Teacher,Single,42,740,14,Small Loan,167057
21,Master,Lawyer,Single,11,429,36,Large Loan,162447
32,High School,Doctor,Married,37,653,4,Large Loan,40805
59,Bachelor,Teacher,Divorced,11,497,18,Large Loan,42107
21,Bachelor,Engineer,Divorced,27,670,10,Small Loan,198473
39,High School,Teacher,Widowed,94,446,8,No Loan,98071
20,PhD,Doctor,Widowed,83,797,34,No Loan,193660
56,Bachelor,Engineer,Married,34,347,26,Small Loan,172542
28,PhD,Artist,Divorced,38,471,12,No Loan,180153
36,Bachelor,Doctor,Single,61,614,11,Large Loan,31846
28,Bachelor,Engineer,Single,87,675,8,Small Loan,94685
30,PhD,Lawyer,Widowed,53,832,27,Small Loan,54925
34,Bachelor,Teacher,Divorced,65,719,12,No Loan,78989
43,PhD,Engineer,Widowed,3,695,19,No Loan,138333
57,High School,Teacher,Widowed,67,821,12,Large Loan,93748
54,PhD,Lawyer,Single,28,486,26,Small Loan,121080
49,High School,Engineer,Single,14,332,25,No Loan,122601
50,Bachelor,Artist,Divorced,52,368,28,Small Loan,117601
24,PhD,Doctor,Widowed,30,490,28,Large Loan,47694
63,Bachelor,Engineer,Married,58,400,21,Large Loan,162114
33,PhD,Lawyer,Divorced,54,784,8,Large Loan,164085
30,High School,Engineer,Widowed,69,584,23,Small Loan,56285
28,High School,Teacher,Divorced,15,689,18,Small Loan,67446
53,PhD,Manager,Divorced,38,459,37,Small Loan,77679
31,High School,Engineer,Divorced,78,346,30,Small Loan,115184
54,Bachelor,Artist,Married,14,458,38,Small Loan,28754
54,Bachelor,Engineer,Married,57,745,14,Large Loan,36187
20,Master,Doctor,Single,59,822,31,Large Loan,193205
59,High School,Engineer,Single,8,454,28,Large Loan,139311
41,Bachelor,Manager,Widowed,72,638,33,No Loan,91082
48,PhD,Teacher,Divorced,19,664,8,Large Loan,192569
27,High School,Engineer,Widowed,32,447,34,Small Loan,130654
30,Bachelor,Artist,Single,95,443,5,Large Loan,136693
60,High School,Lawyer,Married,29,402,36,No Loan,125272
56,PhD,Engineer,Single,41,392,13,No Loan,29516
33,Bachelor,Engineer,Widowed,75,585,8,No Loan,91795
49,Master,Doctor,Single,45,723,18,No Loan,48376
54,Master,Artist,Widowed,13,418,22,No Loan,114676
40,High School,Manager,Widowed,27,328,27,Small Loan,109853
56,PhD,Lawyer,Widowed,19,810,15,Large Loan,93045
24,Bachelor,Teacher,Widowed,26,329,25,Small Loan,69968
38,PhD,Engineer,Single,53,665,37,Small Loan,168336
33,Bachelor,Manager,Widowed,51,437,39,No Loan,152560
45,High School,Lawyer,Widowed,37,774,24,Large Loan,174018
23,Bachelor,Teacher,Divorced,9,691,34,Large Loan,187707
44,PhD,Manager,Widowed,92,734,4,Large Loan,51365
64,PhD,Artist,Single,96,533,6,No Loan,180531
61,High School,Artist,Widowed,52,354,22,Small Loan,88913
44,PhD,Lawyer,Married,54,591,24,Large Loan,121100
37,Bachelor,Teacher,Married,3,611,0,Small Loan,81350
59,High School,Artist,Widowed,96,847,21,Large Loan,41588
27,Bachelor,Lawyer,Married,69,388,3,Large Loan,171112
58,PhD,Artist,Married,8,511,27,Large Loan,173197
59,High School,Artist,Single,14,617,13,Large Loan,155804
33,Bachelor,Manager,Divorced,3,764,32,No Loan,186831
51,PhD,Manager,Married,24,386,3,No Loan,118606
57,PhD,Artist,Married,13,708,10,Small Loan,97585
52,Master,Doctor,Divorced,43,539,38,No Loan,193103
42,PhD,Manager,Divorced,29,356,31,Large Loan,81989
34,Bachelor,Teacher,Married,72,412,3,Small Loan,29737
52,High School,Lawyer,Widowed,51,369,0,Small Loan,75257
44,Master,Lawyer,Married,42,483,25,Small Loan,106563
36,PhD,Teacher,Widowed,31,575,32,Large Loan,35015
52,PhD,Teacher,Widowed,63,532,16,Large Loan,84991
21,PhD,Teacher,Widowed,26,353,26,Small Loan,61965
33,Bachelor,Teacher,Divorced,18,556,4,No Loan,171167
59,Master,Engineer,Married,82,389,6,Large Loan,171125
59,Bachelor,Lawyer,Married,57,734,24,Large Loan,139776
58,Master,Engineer,Single,7,707,7,No Loan,187591
25,High School,Artist,Divorced,48,568,33,Small Loan,88386
25,Bachelor,Artist,Single,80,665,3,No Loan,152583
22,Bachelor,Lawyer,Single,60,650,11,Large Loan,133702
26,High School,Artist,Widowed,33,598,30,Small Loan,77337
27,Master,Teacher,Divorced,3,458,10,Small Loan,179135
61,PhD,Engineer,Single,4,786,36,No Loan,37573
34,High School,Teacher,Married,4,825,35,Large Loan,42248
48,PhD,Artist,Single,42,654,21,Large Loan,131550
52,PhD,Manager,Divorced,9,700,0,Small Loan,144359
49,High School,Engineer,Married,51,704,3,Large Loan,117192
58,Master,Teacher,Married,17,395,35,Small Loan,41941
46,PhD,Lawyer,Married,17,691,7,Small Loan,103554
55,High School,Teacher,Widowed,97,651,24,Small Loan,169160
48,Bachelor,Manager,Married,20,587,27,Large Loan,111211
57,Bachelor,Artist,Widowed,14,822,37,No Loan,41124
52,Bachelor,Engineer,Widowed,22,461,35,Small Loan,28819
56,High School,Lawyer,Single,52,481,35,No Loan,120822
46,Bachelor,Engineer,Single,27,848,3,No Loan,36164
52,PhD,Lawyer,Married,43,381,12,No Loan,57701
23,Bachelor,Engineer,Divorced,3,823,37,No Loan,140295
41,Bachelor,Artist,Married,88,303,24,No Loan,132747
21,PhD,Lawyer,Single,94,794,2,Small Loan,188941
29,Bachelor,Doctor,Married,8,350,31,Large Loan,61603
24,PhD,Engineer,Single,86,560,38,No Loan,147857
29,Bachelor,Engineer,Married,89,433,0,Large Loan,29235
52,PhD,Teacher,Divorced,10,661,10,Large Loan,149558
57,Bachelor,Lawyer,Married,29,516,1,Small Loan,37015
32,PhD,Manager,Divorced,40,367,4,No Loan,39601
50,High School,Doctor,Divorced,65,442,21,Large Loan,32509
55,PhD,Artist,Married,21,645,12,Large Loan,195556
64,Bachelor,Teacher,Divorced,24,493,22,No Loan,172990
43,Bachelor,Doctor,Divorced,73,545,30,Small Loan,65975
34,Master,Lawyer,Single,60,613,34,Small Loan,66520
48,PhD,Doctor,Single,26,683,37,No Loan,60693
27,High School,Engineer,Divorced,9,576,34,Large Loan,51959
24,PhD,Engineer,Widowed,20,371,12,Small Loan,25909
48,PhD,Teacher,Married,56,428,6,Small Loan,105041
23,High School,Lawyer,Divorced,99,657,4,Large Loan,128312
31,PhD,Lawyer,Married,36,824,28,Large Loan,156190
64,High School,Doctor,Single,36,519,7,Large Loan,184710
21,High School,Teacher,Married,73,305,7,Large Loan,93649
46,PhD,Lawyer,Divorced,22,527,6,No Loan,134556
50,PhD,Manager,Divorced,1,316,18,Large Loan,129457
55,Bachelor,Manager,Divorced,69,311,38,Small Loan,105301
55,Bachelor,Engineer,Divorced,73,798,22,Large Loan,43480
45,Master,Doctor,Widowed,37,801,35,Large Loan,32944
62,Master,Artist,Widowed,83,369,31,No Loan,60022
46,PhD,Engineer,Widowed,72,407,3,No Loan,115625
24,High School,Teacher,Divorced,96,500,29,Large Loan,73707
39,Master,Lawyer,Widowed,13,351,38,No Loan,53708
30,PhD,Engineer,Married,84,848,4,No Loan,187009
29,Master,Artist,Divorced,43,558,2,No Loan,83823
59,High School,Artist,Single,37,781,21,No Loan,63399
57,PhD,Manager,Divorced,94,563,27,Large Loan,149420
25,High School,Teacher,Married,74,602,21,No Loan,143431
27,PhD,Engineer,Widowed,95,424,21,No Loan,174227
42,Master,Doctor,Divorced,25,569,33,Small Loan,45838
45,Bachelor,Engineer,Widowed,93,779,28,Large Loan,179226
62,Master,Manager,Divorced,88,431,12,No Loan,69035
31,Master,Artist,Married,21,301,6,Small Loan,55294
45,Bachelor,Teacher,Divorced,41,414,9,No Loan,153557
32,Bachelor,Teacher,Widowed,73,780,27,Large Loan,99233
59,PhD,Doctor,Widowed,42,300,3,Small Loan,161700
37,PhD,Teacher,Married,42,630,31,Small Loan,128217
44,High School,Manager,Divorced,2,690,21,Large Loan,181486
52,High School,Manager,Single,68,442,19,Small Loan,135367
59,Master,Manager,Divorced,8,627,19,Small Loan,95254
62,Bachelor,Teacher,Married,96,676,5,No Loan,44060
31,High School,Teacher,Single,61,389,8,Small Loan,156168
63,Master,Manager,Married,14,341,27,Large Loan,108883
55,Bachelor,Teacher,Divorced,77,334,12,No Loan,120932
23,PhD,Teacher,Single,21,793,30,Small Loan,147455
24,Master,Artist,Married,24,423,38,No Loan,36058
56,PhD,Engineer,Widowed,50,356,13,Large Loan,168290
27,High School,Lawyer,Single,82,755,21,Small Loan,173054
61,High School,Teacher,Single,45,534,36,Large Loan,85325
47,Bachelor,Lawyer,Married,64,691,23,Large Loan,115540
50,Master,Lawyer,Widowed,64,791,7,Small Loan,71622
28,PhD,Artist,Single,26,642,14,Small Loan,179749
48,Bachelor,Teacher,Married,32,475,5,No Loan,69741
33,High School,Manager,Single,57,351,22,Large Loan,183238
59,High School,Lawyer,Single,53,849,24,Small Loan,199446
60,Master,Teacher,Single,33,777,30,Large Loan,71908
41,PhD,Doctor,Widowed,52,788,28,Small Loan,141455
30,Master,Manager,Divorced,95,304,22,Large Loan,128468
42,PhD,Doctor,Divorced,18,508,9,No Loan,116628
20,PhD,Doctor,Widowed,35,516,8,Large Loan,91875
56,Master,Lawyer,Widowed,12,835,12,Small Loan,73316
40,Bachelor,Doctor,Married,51,641,31,No Loan,168358
45,Master,Artist,Single,89,700,0,No Loan,88539
55,Master,Artist,Widowed,95,761,0,Small Loan,54235
42,High School,Lawyer,Married,10,510,36,No Loan,50552
20,High School,Teacher,Divorced,52,325,39,Large Loan,38629
59,Master,Engineer,Divorced,34,551,17,Large Loan,71489
34,Master,Teacher,Divorced,67,302,35,Small Loan,129770
40,High School,Teacher,Divorced,39,301,30,Large Loan,120461
28,PhD,Teacher,Married,8,301,0,Small Loan,128767
28,Master,Teacher,Single,96,449,35,No Loan,194330
29,Bachelor,Manager,Married,29,303,8,Large Loan,168915
45,Bachelor,Engineer,Single,22,796,21,Small Loan,122571
60,Bachelor,Manager,Divorced,84,849,27,Large Loan,48988
54,Master,Doctor,Widowed,70,767,25,No Loan,140958
44,PhD,Teacher,Widowed,61,369,9,No Loan,123219
45,PhD,Artist,Widowed,43,500,2,Large Loan,58301
30,High School,Lawyer,Single,49,607,1,No Loan,105513
57,Master,Lawyer,Divorced,29,551,36,Small Loan,164023
21,PhD,Manager,Married,81,586,30,Large Loan,116607
26,Master,Manager,Widowed,31,591,32,Large Loan,100101
37,High School,Artist,Single,53,453,31,No Loan,53715
46,High School,Teacher,Widowed,34,432,11,Small Loan,77975
53,High School,Engineer,Married,38,573,2,Large Loan,62109
46,Bachelor,Doctor,Divorced,57,808,25,Large Loan,193922
36,Master,Lawyer,Married,4,652,13,No Loan,101870
62,High School,Doctor,Divorced,2,304,11,No Loan,139372
63,Master,Engineer,Divorced,12,592,25,Small Loan,150085
43,Bachelor,Manager,Divorced,35,659,15,Small Loan,44369
44,Bachelor,Lawyer,Widowed,70,513,7,No Loan,135150
26,High School,Doctor,Married,72,705,27,Small Loan,85216
25,High School,Manager,Widowed,21,735,6,No Loan,138886
43,PhD,Engineer,Married,61,314,14,Large Loan,176711
52,Master,Doctor,Single,35,572,35,No Loan,89305
48,High School,Teacher,Single,48,344,7,No Loan,43506
62,PhD,Manager,Married,15,711,9,No Loan,97232
41,Master,Engineer,Married,71,486,14,Large Loan,28981
45,High School,Doctor,Married,15,469,17,Small Loan,107391
47,PhD,Teacher,Married,6,700,36,Small Loan,44789
40,PhD,Teacher,Divorced,81,545,34,Small Loan,156380
26,Master,Engineer,Widowed,68,342,1,No Loan,118046
36,PhD,Artist,Divorced,22,478,21,No Loan,119908
39,Master,Lawyer,Widowed,32,756,14,Small Loan,191887
60,Master,Engineer,Widowed,22,834,36,Large Loan,51497
39,Master,Teacher,Widowed,27,543,38,Large Loan,121060
41,Bachelor,Teacher,Divorced,15,316,35,Large Loan,190857
47,PhD,Engineer,Married,44,411,4,Large Loan,169438
59,Master,Artist,Divorced,86,846,14,No Loan,62649
26,High School,Lawyer,Divorced,92,329,26,Small Loan,183000
20,Bachelor,Doctor,Widowed,9,491,15,Large Loan,111117
51,Bachelor,Engineer,Single,34,736,35,No Loan,49105
32,PhD,Lawyer,Single,73,478,37,No Loan,44843
49,Master,Lawyer,Divorced,15,773,17,No Loan,135250
42,PhD,Manager,Widowed,62,433,34,Small Loan,151000
38,Bachelor,Teacher,Divorced,45,611,24,No Loan,189411
51,Master,Doctor,Divorced,84,324,21,Small Loan,131643
49,High School,Engineer,Married,72,670,30,Small Loan,145606
48,Master,Teacher,Widowed,58,824,36,Small Loan,155258
64,Bachelor,Manager,Single,92,618,33,Small Loan,46457
48,High School,Manager,Single,19,529,22,No Loan,75222
49,Master,Teacher,Single,16,401,15,No Loan,118857
35,High School,Artist,Divorced,75,749,5,No Loan,111245
59,High School,Lawyer,Widowed,8,677,14,Large Loan,93907
38,Bachelor,Engineer,Married,33,502,17,Large Loan,25157
37,High School,Engineer,Single,74,566,37,Small Loan,106568
20,PhD,Engineer,Widowed,18,761,12,Small Loan,83266
33,Bachelor,Teacher,Single,35,664,23,Small Loan,159390
21,PhD,Artist,Married,43,403,12,Small Loan,146399
47,High School,Doctor,Widowed,50,410,0,Small Loan,130525
49,PhD,Manager,Divorced,3,727,35,Large Loan,99493
57,Master,Teacher,Divorced,91,768,17,Small Loan,93148
23,High School,Doctor,Single,59,549,32,No Loan,177018
20,Master,Manager,Single,28,781,37,Small Loan,168092
27,PhD,Manager,Widowed,46,630,5,No Loan,103309
48,Master,Artist,Married,64,500,16,No Loan,55247
58,High School,Lawyer,Single,70,753,3,No Loan,25443
22,Master,Engineer,Widowed,47,803,13,No Loan,63741
51,PhD,Doctor,Married,14,845,29,Small Loan,173360
29,PhD,Teacher,Single,7,410,19,Small Loan,27910
29,PhD,Doctor,Single,74,843,7,Small Loan,69169
38,High School,Lawyer,Widowed,79,508,1,Small Loan,125105
53,PhD,Engineer,Single,31,332,36,Small Loan,42309
52,High School,Doctor,Divorced,93,406,3,Large Loan,170337
42,Master,Lawyer,Married,81,564,9,No Loan,119499
47,PhD,Teacher,Married,51,525,19,No Loan,120441
51,Master,Artist,Divorced,29,786,34,Large Loan,180307
26,Bachelor,Manager,Widowed,15,478,9,Large Loan,139360
48,Master,Teacher,Divorced,90,521,27,Small Loan,83095
27,Bachelor,Engineer,Divorced,76,669,14,Small Loan,27922
20,Master,Manager,Married,25,466,35,No Loan,83006
22,High School,Teacher,Widowed,61,599,0,Small Loan,196395
43,Master,Teacher,Single,41,680,21,No Loan,52771
42,High School,Teacher,Divorced,69,334,26,Small Loan,165848
27,High School,Teacher,Divorced,4,706,28,Small Loan,62772
56,PhD,Manager,Widowed,57,801,14,No Loan,78371
22,High School,Engineer,Divorced,31,613,9,Large Loan,147947
52,Bachelor,Lawyer,Widowed,3,400,19,Large Loan,177026
47,PhD,Doctor,Single,67,514,21,Small Loan,176909
27,PhD,Artist,Widowed,90,361,8,Large Loan,100494
53,Master,Doctor,Single,50,668,31,Small Loan,161647
54,High School,Doctor,Widowed,17,667,16,Large Loan,153345
51,High School,Artist,Divorced,60,393,18,Large Loan,76105
43,Bachelor,Manager,Single,74,768,39,No Loan,76720
33,Master,Engineer,Divorced,66,325,26,Large Loan,137498
51,Master,Artist,Single,88,734,36,Small Loan,79080
62,PhD,Engineer,Widowed,75,420,33,No Loan,106393
35,PhD,Manager,Widowed,24,349,9,Large Loan,57309
23,PhD,Doctor,Widowed,99,335,29,No Loan,179026
56,Bachelor,Engineer,Married,87,709,20,Large Loan,152984
40,Bachelor,Manager,Married,32,588,20,Small Loan,58368
33,PhD,Manager,Single,87,678,33,Small Loan,118278
50,Master,Lawyer,Married,98,399,8,No Loan,102670
37,Bachelor,Artist,Widowed,19,623,33,Large Loan,150689
26,Master,Lawyer,Married,66,628,11,Large Loan,153450
29,Master,Doctor,Married,60,520,20,No Loan,36580
26,High School,Artist,Divorced,66,409,19,No Loan,45966
52,PhD,Doctor,Single,15,448,5,Small Loan,109615
42,High School,Lawyer,Single,85,705,35,No Loan,40231
40,PhD,Manager,Single,35,709,11,Large Loan,167912
38,PhD,Doctor,Married,69,428,30,No Loan,158124
38,Master,Artist,Widowed,27,783,1,Small Loan,58399
55,PhD,Artist,Divorced,88,407,15,No Loan,157826
48,Master,Doctor,Single,7,688,0,Large Loan,146708
37,Master,Artist,Married,6,724,3,No Loan,100306
21,PhD,Manager,Widowed,33,746,0,No Loan,156097
20,Master,Manager,Divorced,58,367,34,No Loan,166473
24,Master,Artist,Divorced,49,365,12,Small Loan,138172
39,Master,Doctor,Single,17,803,30,Small Loan,31553
30,Bachelor,Lawyer,Single,42,803,19,Small Loan,96295
61,Master,Artist,Widowed,94,620,6,Small Loan,32755
21,Bachelor,Artist,Married,72,746,39,Large Loan,189969
22,Bachelor,Artist,Widowed,40,509,32,Large Loan,128300
42,Master,Artist,Single,46,669,27,Small Loan,122910
31,Master,Doctor,Widowed,71,757,19,Small Loan,63409
39,Bachelor,Lawyer,Married,70,462,31,Small Loan,122904
24,Bachelor,Lawyer,Divorced,68,631,8,No Loan,80049
56,Master,Engineer,Divorced,1,649,33,Large Loan,71669
57,Master,Artist,Divorced,79,767,13,No Loan,170443
49,PhD,Artist,Divorced,95,725,3,Small Loan,97905
28,Bachelor,Engineer,Single,89,626,28,Large Loan,160869
53,Bachelor,Lawyer,Single,97,405,14,Small Loan,155216
63,PhD,Teacher,Married,52,554,16,No Loan,103053
54,Bachelor,Manager,Married,35,657,18,Large Loan,41943
41,High School,Teacher,Married,69,743,37,No Loan,133374
63,Bachelor,Lawyer,Married,5,412,8,Large Loan,51831
43,PhD,Artist,Widowed,17,329,26,Small Loan,67044
36,High School,Teacher,Married,53,823,14,Large Loan,143602
29,Master,Doctor,Divorced,52,345,36,No Loan,49814
49,PhD,Doctor,Divorced,14,470,27,No Loan,98586
42,PhD,Engineer,Divorced,29,429,3,No Loan,84439
51,Master,Lawyer,Widowed,8,652,20,No Loan,63355
36,PhD,Lawyer,Married,98,502,33,Small Loan,84389
36,Bachelor,Teacher,Divorced,1,525,18,No Loan,40784
33,Master,Artist,Divorced,29,379,36,Small Loan,159755
28,PhD,Lawyer,Divorced,36,609,3,Large Loan,98932
59,Master,Teacher,Divorced,51,334,36,No Loan,163419
21,Master,Teacher,Single,37,460,31,Large Loan,110520
64,Master,Manager,Married,93,734,11,Large Loan,199169
44,High School,Manager,Married,69,837,15,Small Loan,113563
58,PhD,Lawyer,Widowed,53,524,13,No Loan,108133
28,High School,Teacher,Single,96,745,0,Small Loan,81499
41,PhD,Engineer,Widowed,52,616,31,No Loan,39072
62,Bachelor,Engineer,Divorced,88,713,20,Large Loan,37026
23,Bachelor,Manager,Widowed,83,394,3,Small Loan,77832
45,Bachelor,Lawyer,Divorced,12,524,8,No Loan,149559
48,PhD,Artist,Divorced,52,365,21,Large Loan,65966
64,Master,Engineer,Married,1,696,11,Small Loan,56041
53,Master,Engineer,Married,7,509,29,Small Loan,121523
42,High School,Manager,Married,17,773,29,Small Loan,188328
56,High School,Manager,Married,98,789,31,Small Loan,170977
30,Bachelor,Lawyer,Married,43,479,35,Large Loan,128810
25,High School,Manager,Single,71,823,6,Large Loan,92673
37,PhD,Doctor,Married,17,758,16,Large Loan,147343
40,PhD,Teacher,Widowed,59,367,0,Large Loan,115044
61,High School,Engineer,Divorced,3,628,13,No Loan,79100
55,High School,Doctor,Married,29,501,37,Large Loan,106156
60,High School,Artist,Single,22,774,25,Small Loan,105359
57,High School,Doctor,Widowed,38,817,26,Small Loan,127169
53,Bachelor,Lawyer,Widowed,54,314,15,Small Loan,145136
36,Bachelor,Artist,Divorced,93,341,6,Small Loan,127800
56,High School,Artist,Widowed,50,842,31,No Loan,144140
44,PhD,Manager,Widowed,69,588,24,Small Loan,195738
57,Bachelor,Doctor,Widowed,30,832,30,Small Loan,125850
31,PhD,Lawyer,Widowed,23,543,15,Small Loan,115230
42,Master,Engineer,Single,85,473,13,Large Loan,97750
61,PhD,Manager,Divorced,90,833,24,Large Loan,169382
41,High School,Doctor,Married,47,808,29,No Loan,125699
40,Master,Engineer,Widowed,21,543,6,No Loan,114591
46,Bachelor,Doctor,Single,20,359,11,No Loan,184015
50,Bachelor,Manager,Divorced,23,403,2,Small Loan,187989
25,Master,Engineer,Married,68,602,26,No Loan,157774
46,PhD,Manager,Divorced,21,376,18,Large Loan,82873
59,Bachelor,Doctor,Single,21,317,36,Large Loan,176130
53,High School,Artist,Single,1,833,6,Large Loan,197334
31,Master,Teacher,Single,15,483,15,Small Loan,39537
64,High School,Artist,Widowed,17,849,31,Small Loan,106428
26,Master,Manager,Single,51,580,7,No Loan,176707
29,Bachelor,Manager,Married,63,587,12,No Loan,53544
64,PhD,Manager,Widowed,14,824,10,No Loan,90549
36,Master,Engineer,Divorced,59,773,19,No Loan,146875
45,Master,Lawyer,Married,83,566,17,Small Loan,76955
40,High School,Manager,Widowed,50,656,36,Large Loan,135024
47,Bachelor,Artist,Single,34,300,5,Small Loan,193380
21,High School,Teacher,Divorced,6,326,19,No Loan,27169
62,Bachelor,Manager,Single,49,847,31,Small Loan,135064
20,High School,Manager,Married,6,459,28,Large Loan,35423
55,Master,Manager,Married,69,698,3,Small Loan,198875
45,High School,Engineer,Widowed,7,842,6,Large Loan,118988
48,PhD,Manager,Married,97,426,19,No Loan,33017
40,Bachelor,Artist,Divorced,77,509,33,Small Loan,199750
30,Bachelor,Doctor,Widowed,51,449,35,No Loan,57948
59,Master,Lawyer,Divorced,1,330,6,No Loan,116529
30,Bachelor,Manager,Single,13,601,32,Large Loan,126768
55,PhD,Engineer,Divorced,43,556,14,Large Loan,102147
58,High School,Artist,Divorced,27,356,31,No Loan,57219
59,Master,Manager,Married,71,308,21,Large Loan,186932
54,PhD,Engineer,Single,3,304,39,Large Loan,140217
53,Bachelor,Doctor,Married,58,413,28,No Loan,177135
43,Bachelor,Teacher,Single,89,504,24,No Loan,104601
41,PhD,Manager,Single,97,323,4,Large Loan,180396
24,High School,Artist,Divorced,17,792,13,No Loan,125494
52,High School,Engineer,Married,45,705,34,No Loan,197738
55,Master,Engineer,Divorced,78,402,1,Large Loan,134713
39,Bachelor,Manager,Divorced,58,359,24,Small Loan,49869
38,PhD,Engineer,Divorced,56,385,15,Small Loan,96164
54,High School,Teacher,Single,54,671,15,No Loan,54093
62,Master,Engineer,Married,87,501,10,Large Loan,142299
36,Bachelor,Lawyer,Married,88,388,34,No Loan,175634
64,Bachelor,Lawyer,Divorced,29,736,22,Large Loan,93925
62,Master,Engineer,Single,54,419,4,No Loan,126367
53,Master,Manager,Married,27,455,34,No Loan,80553
28,High School,Lawyer,Widowed,45,698,28,Large Loan,82279
45,PhD,Artist,Married,87,487,4,No Loan,60608
21,Bachelor,Lawyer,Divorced,31,351,2,Small Loan,85840
28,PhD,Engineer,Widowed,36,830,5,Small Loan,35770
28,Bachelor,Manager,Single,81,779,22,Large Loan,80461
59,Bachelor,Doctor,Widowed,61,529,1,No Loan,51627
36,PhD,Manager,Widowed,37,780,17,Small Loan,31146
20,Master,Manager,Divorced,67,429,29,Large Loan,113481
44,High School,Manager,Married,36,354,37,Large Loan,84753
62,Bachelor,Artist,Single,5,570,4,Large Loan,115480
59,Master,Teacher,Widowed,46,399,10,Small Loan,77079
61,Bachelor,Engineer,Divorced,79,368,0,Small Loan,142081
44,High School,Teacher,Married,52,598,9,Small Loan,83074
58,Bachelor,Doctor,Widowed,49,828,25,Small Loan,107816
54,High School,Teacher,Divorced,6,653,32,No Loan,179323
22,High School,Engineer,Divorced,10,451,26,Small Loan,119771
56,Bachelor,Engineer,Divorced,96,629,11,Large Loan,187968
63,Bachelor,Doctor,Single,23,415,1,No Loan,195185
63,High School,Engineer,Married,17,841,0,Small Loan,38322
49,Master,Doctor,Widowed,84,622,0,No Loan,32747
57,PhD,Doctor,Married,44,528,32,Large Loan,142068
53,High School,Engineer,Married,41,659,21,Small Loan,122748
31,Bachelor,Lawyer,Widowed,15,304,11,No Loan,139702
38,Bachelor,Doctor,Married,44,327,38,Small Loan,83697
56,Master,Engineer,Single,58,663,35,No Loan,60903
63,PhD,Lawyer,Widowed,86,761,20,No Loan,197042
36,High School,Doctor,Widowed,50,530,19,Large Loan,67207
29,High School,Lawyer,Divorced,52,694,35,Large Loan,137352
31,PhD,Artist,Married,70,570,25,Small Loan,75812
35,High School,Manager,Widowed,68,603,30,Small Loan,188475
43,PhD,Artist,Widowed,63,682,0,No Loan,59531
38,Bachelor,Lawyer,Single,58,327,37,Large Loan,171485
27,PhD,Doctor,Divorced,23,818,13,Large Loan,196705
50,High School,Engineer,Widowed,44,498,25,No Loan,85032
40,PhD,Teacher,Single,83,381,6,Large Loan,191457
36,Master,Engineer,Widowed,95,387,11,Large Loan,126058
42,Bachelor,Teacher,Widowed,44,689,23,No Loan,116040
56,Bachelor,Teacher,Widowed,52,750,18,Small Loan,98637
35,PhD,Doctor,Single,67,732,8,Small Loan,75578
25,High School,Lawyer,Married,28,673,34,Small Loan,184307
27,Master,Engineer,Widowed,67,734,3,No Loan,95744
44,Bachelor,Lawyer,Widowed,78,486,31,Small Loan,100961
37,Bachelor,Artist,Married,18,689,5,No Loan,53485
44,High School,Doctor,Widowed,27,517,27,No Loan,123059
31,High School,Doctor,Divorced,51,407,27,Large Loan,169254
34,Master,Artist,Widowed,60,849,39,Large Loan,39480
